text,label
# --- 레이블 0: 전세 사기 위험 ---
"전세 계약과 동시에 집을 담보로 대출을 실행하는 것은 위험합니다.",0
"신탁등기된 부동산으로, 전세 계약은 수탁자 동의가 필수입니다.",0
"전세가율이 90%를 초과하여 깡통전세 위험이 매우 높습니다.",0
"집주인이 다수의 임대 사업자로, 보증보험 가입을 거부하고 있습니다.",0
"선순위 보증금이 높아 전세금을 돌려받지 못할 수 있습니다.",0

# --- 레이블 1: 월세 사기 위험 ---
"저렴한 월세를 미끼로 과도한 보증금을 요구하고 있습니다.",1
"선수금 명목으로 보증금 외 추가 금액을 요구하고 있습니다.",1
"단기 계약 종료 후 보증금을 반환하지 않는 사례가 있습니다.",1
"보증금 반환을 고의로 지연시키는 악성 임대인입니다.",1
"계약서에 명시되지 않은 관리비를 과도하게 청구합니다.",1

# --- 레이블 2: 매매 사기 위험 ---
"소유자가 아닌 대리인이 위임장 없이 계약을 시도합니다.",2
"가짜 매물을 보여주고 계약금을 편취하는 수법이 있습니다.",2
"이중 계약으로 이미 다른 사람에게 팔린 매물입니다.",2
"개발 호재를 미끼로 시세보다 훨씬 높은 가격을 제시합니다.",2
"부동산 권리분석이 불확실한 기획부동산 매물입니다.",2

# --- 레이블 3: 공통 위험  ---
"등기부등본에 압류가 등재되어 있어 계약이 위험합니다.",3
"집주인이 국세 및 지방세를 체납한 상태입니다.",3
"건축물대장상 위반건축물로 등재되어 있습니다.",3
"선순위 근저당권의 채권최고액이 매매가를 초과합니다.",3
"계약 당사자가 등기부등본의 소유자와 다릅니다.",3

# --- 레이블 4: 안전 또는 일반 정보 ---
"계약 내용은 표준 임대차 계약서 양식을 따르고 있습니다.",4
"등기부등본이 깨끗하고 채권 관계가 없습니다.",4
"계약 만료 시 원상복구 의무에 대한 조항이 포함됩니다.",4
"제3자에게 양도할 수 없다는 내용이 명시되어 있습니다.",4
"묵시적 갱신에 대한 설명이 포함되어 있습니다.",4
"임대인과 임차인의 인적 사항이 정확히 기재되었습니다.",4
